,Key,Team,League,Season,Rank,Games,Wins,Draws,Losses,Points,GoalsFor,GoalsAgainst,GoalDifference,Goals,Possession,PassSuccess,CrossesPerGame,ThroughBallsPerGame,LongBallsPerGame,ShortPassesPerGame,OpenPlayGoals,CounterAttackGoals,SetPieceGoals,PenaltyGoals,OwnGoals,TotalTacklesPerGame,DribbledPastPerGame,TotalAttemptedTacklesPerGame,InterceptionsPerGame,FouledPerGame,FoulsPerGame,YellowCardPerGame,RedCardPerGame,OffsidesPerGame,ClearancesPerGame,ShotsBlockedPerGame,CrossesBlockedPerGame,TiotalSavesPerGame,SixYardSavesPerGame,PenaltyAreaSavesPerGame,OutOfBoxSavesPerGame,TotalShotsPerGame,OutOfBoxShotsPerGame,SixYardBoxShotsPerGame,PenaltyAreaShotsPerGame,GoalsPerGame,SixYardGoalsPerGame,PenaltyAreaGoalsPerGame,OutOfBoxGoalsPerGame,UnsuccessfulDribblesPerGame,SuccessfulDribblesPerGame,TotalDribblesPerGame,DisspossedPergame,TotalAerialDuelsPerGame,AerialDuelsWonPerGame,AerialDuelsLostPerGame,TotalPassesPerGame,AccurateLongBallsPerGame,InAccurateLongBallsPerGame,AccShortPassesPerGame,InAccurateShortPassesPerGame,TotalKeyPassesPerGame,LongKeyPassesPerGame,ShortKeyPassesPerGame,CrossAssistPerGame,CornerAssistPerGame,ThroughballAssistPerGame,FreekickAssistPerGame,ThrowInAssistPergame,OtherAssistPerGame,TotalAssistPerGame,ShotsOnTarget,ShotsOnTargetAgainst,ShotsOnTargetPer90,ShotsOnTargetAgainstPer90,Touches,TouchesDefPen,TouchesDefThird,TouchesMidThird,TouchesAttThird,TouchesAttPen,LiveTouches,NumOfPlayersDribbledPast,Nutmegs,Controlled,DistMovedWithBall,ProgressiveDistMoved,ProgC,ProgressiveIntoFinalThird,ProgressiveInto18Yard,Miscontrols,MiscontrolsAfterTackle,ProgressivePassReceived
207,Burnley DL 2019/2020,Burnley,Premier League,2019/2020,10.0,38.0,15.0,9.0,14.0,54.0,43.0,50.0,-7.0,43,43.9,70.0,20,1,73,271,23,2,13,3,2,14.4,9.1,23.5,10.2,9.7,10.8,1.8,0.0,2.3,21.9,4.6,2.1,3.1,0.2,1.8,1.1,10.2,3.2,1.5,5.4,1.1,0.3,0.6,0.2,5.5,6.5,11.9,7.7,50.4,25.5,25.0,337.2,24.3,46.7,211.8,54.4,7.4,2.1,5.3,0.3,0.1,0.0,0.0,0.0,0.4,0.8,124,159,3.263157895,4.184210526,492.2,62.3,158.1,231.0,127.1,17.2,444.3,7.71,0.47,259.2,1276.1,613.0,23.9,8.32,1.61,10.7,9.34,29.3
208,Sheffield United DL 2019/2020,Sheffield United,Premier League,2019/2020,9.0,38.0,14.0,12.0,12.0,54.0,39.0,39.0,0.0,39,44.4,74.4,23,0,74,323,26,3,6,1,3,16.1,10.2,26.3,11.0,8.1,10.8,1.6,0.1,2.1,23.2,2.8,1.8,2.6,0.2,1.5,1.0,9.3,2.3,1.0,5.9,1.0,0.2,0.7,0.0,5.0,9.1,14.1,7.7,48.9,25.3,23.7,392.6,29.2,43.6,262.8,57.1,7.1,1.7,5.4,0.2,0.0,0.1,0.0,0.0,0.4,0.7,109,141,2.868421053,3.710526316,547.1,60.9,167.7,235.5,170.4,21.6,500.4,10.2,0.58,315.5,1513.8,754.7,31.8,9.84,3.03,11.0,9.79,36.0
209,West Ham DL 2019/2020,West Ham,Premier League,2019/2020,16.0,38.0,10.0,9.0,19.0,39.0,49.0,62.0,-13.0,49,45.4,76.1,20,1,65,337,28,3,14,4,0,18.3,11.7,30.0,11.1,9.1,10.2,1.6,0.0,1.7,19.8,3.1,1.6,3.4,0.2,2.0,1.2,11.0,3.4,1.1,6.4,1.3,0.3,0.9,0.1,7.0,10.4,17.4,8.5,44.3,22.9,21.5,397.4,27.4,35.9,274.9,59.2,8.7,1.8,6.9,0.3,0.1,0.1,0.1,0.0,0.6,0.9,157,178,4.131578947,4.684210526,548.0,60.2,170.4,262.2,146.8,21.7,500.5,11.3,0.61,329.4,1745.1,878.8,35.5,11.5,4.08,10.5,10.7,35.3
210,Arsenal DL 2019/2020,Arsenal,Premier League,2019/2020,8.0,38.0,14.0,14.0,10.0,56.0,56.0,48.0,8.0,56,52.9,83.6,18,2,53,444,39,2,12,3,0,15.4,9.6,24.9,9.2,11.5,11.1,2.3,0.1,1.9,18.5,3.7,1.8,3.8,0.2,2.1,1.5,10.7,3.3,1.0,6.4,1.5,0.3,1.0,0.1,7.5,10.8,18.3,9.7,29.3,13.5,15.8,490.8,25.3,26.9,384.8,53.8,7.9,0.9,7.0,0.2,0.1,0.1,0.0,0.0,0.6,0.9,144,189,3.789473684,4.973684211,636.7,77.1,226.9,302.8,149.8,24.5,589.2,12.0,0.89,429.2,2286.7,1281.7,50.5,13.2,4.5,11.8,11.9,37.6
211,Southampton DL 2019/2020,Southampton,Premier League,2019/2020,11.0,38.0,15.0,7.0,16.0,52.0,51.0,60.0,-9.0,51,49.2,73.4,18,1,67,349,36,2,11,2,0,18.6,12.3,30.9,11.2,10.2,11.8,1.4,0.1,1.5,21.7,3.3,1.6,2.9,0.3,1.8,0.8,13.1,5.2,1.4,6.6,1.3,0.4,0.6,0.3,6.8,11.1,17.9,9.5,45.2,21.7,23.4,412.3,24.0,42.2,278.6,67.6,9.0,1.4,7.6,0.1,0.0,0.1,0.1,0.0,0.6,0.8,169,163,4.447368421,4.289473684,579.8,58.4,174.1,278.3,159.1,23.6,528.9,12.9,0.61,329.8,1643.9,852.2,35.8,11.2,4.18,13.6,11.3,37.1
212,Everton DL 2019/2020,Everton,Premier League,2019/2020,12.0,38.0,13.0,10.0,15.0,49.0,44.0,56.0,-12.0,44,49.0,78.0,21,1,63,358,27,3,11,1,2,17.6,10.2,27.8,10.7,10.4,12.4,1.8,0.1,1.5,19.2,2.9,1.5,2.5,0.2,1.4,0.8,12.3,4.0,1.3,7.0,1.2,0.4,0.7,0.0,6.2,9.8,16.0,9.1,45.5,23.1,22.4,416.4,30.3,32.2,294.6,59.3,9.0,1.7,7.2,0.4,0.1,0.1,0.0,0.0,0.3,0.8,155,145,4.078947368,3.815789474,574.9,71.1,200.0,261.6,146.8,23.4,526.5,11.3,0.82,348.6,1826.1,954.8,37.4,11.4,3.53,12.9,12.3,40.5
213,Crystal Palace DL 2019/2020,Crystal Palace,Premier League,2019/2020,14.0,38.0,11.0,10.0,17.0,43.0,31.0,50.0,-19.0,31,46.4,76.5,16,1,58,334,18,1,7,3,2,18.1,10.4,28.4,11.7,12.6,11.2,1.6,0.1,1.4,21.1,3.6,2.1,3.3,0.4,1.8,1.1,9.9,3.3,0.8,5.8,0.8,0.1,0.5,0.1,7.0,11.4,18.4,12.6,41.5,20.8,20.8,386.5,23.3,34.2,272.3,56.7,7.0,1.2,5.8,0.1,0.0,0.0,0.0,0.0,0.5,0.5,116,169,3.052631579,4.447368421,547.3,65.7,193.2,251.1,134.9,23.8,496.3,12.5,0.63,326.0,1625.7,844.3,33.6,10.2,4.39,13.4,14.6,34.7
214,Newcastle DL 2019/2020,Newcastle,Premier League,2019/2020,13.0,38.0,11.0,11.0,16.0,44.0,38.0,58.0,-20.0,38,41.8,75.3,16,0,63,285,23,1,14,0,0,15.9,9.4,25.3,10.3,11.1,9.7,1.7,0.1,2.0,24.6,4.0,1.9,3.7,0.4,2.1,1.2,10.5,4.6,0.5,5.4,1.0,0.2,0.7,0.1,7.2,10.5,17.7,7.6,40.7,19.8,20.9,343.8,26.4,36.2,232.5,48.7,7.9,1.7,6.2,0.1,0.0,0.1,0.1,0.0,0.5,0.8,127,190,3.342105263,5.0,492.6,66.0,201.2,204.6,113.8,15.6,447.3,12.0,0.47,283.2,1424.9,740.2,26.6,8.53,3.03,11.9,10.7,28.0
215,Brighton DL 2019/2020,Brighton,Premier League,2019/2020,15.0,38.0,9.0,14.0,15.0,41.0,39.0,54.0,-15.0,39,51.7,81.0,18,1,59,427,20,2,12,1,4,16.9,10.4,27.3,11.0,8.6,10.2,1.5,0.1,1.9,18.5,3.6,1.5,3.1,0.3,2.1,0.7,12.2,4.5,1.2,6.5,1.0,0.2,0.6,0.1,6.6,8.8,15.4,10.5,34.2,18.7,15.5,478.6,28.8,29.1,359.0,61.8,9.0,1.7,7.3,0.3,0.0,0.1,0.1,0.0,0.3,0.6,137,164,3.605263158,4.315789474,633.3,75.8,231.8,278.3,162.8,23.1,587.5,9.97,0.55,410.8,2171.2,1121.3,42.6,13.3,3.71,12.5,13.5,40.0
216,Aston Villa DL 2019/2020,Aston Villa,Premier League,2019/2020,17.0,38.0,9.0,8.0,21.0,35.0,41.0,67.0,-26.0,41,45.7,76.9,21,0,63,307,23,1,15,1,1,13.8,9.8,23.6,11.1,13.8,11.9,1.8,0.0,1.6,22.1,4.8,2.6,3.1,0.2,1.8,1.0,12.0,4.4,1.1,6.5,1.1,0.3,0.7,0.1,5.7,9.2,15.0,8.2,38.9,19.0,19.9,364.0,26.8,34.6,253.2,49.4,9.8,1.8,8.0,0.3,0.1,0.1,0.1,0.0,0.5,0.8,146,175,3.842105263,4.6052631580000005,521.8,72.9,192.6,223.0,140.2,20.6,471.1,10.6,0.66,304.1,1740.5,910.0,37.3,12.3,3.37,10.8,11.3,35.4
